cluster_id	group
0	good
1	good
2	good
3	good
4	good
5	good
8	good
9	good
12	good
13	good
14	good
15	good
16	good
17	good
18	good
19	good
20	good
21	good
22	good
24	noise
26	good
27	good
28	good
30	good
31	good
33	good
34	good
35	good
36	good
37	noise
38	good
39	good
40	noise
42	good
43	good
44	good
45	good
47	good
48	good
49	good
50	good
51	good
52	good
53	good
54	good
55	good
56	good
57	good
58	good
59	good
60	good
62	good
63	good
64	good
65	good
66	good
67	good
68	good
70	good
71	good
72	good
74	good
75	good
76	good
77	good
78	good
83	good
84	good
85	good
